Date	Time	Open	High	Low	Close	Volume
28/02/2022	00:00:00	2616.79	2625.79	2590.0	2605.72	26402.6539
28/02/2022	01:00:00	2605.72	2680.0	2604.71	2643.84	37865.7582
28/02/2022	02:00:00	2643.82	2653.55	2592.29	2612.67	26263.9856
28/02/2022	03:00:00	2612.66	2620.77	2599.77	2608.05	13132.6801
28/02/2022	04:00:00	2608.05	2632.99	2602.2	2611.03	12625.9574
28/02/2022	05:00:00	2611.02	2624.12	2603.08	2610.14	13318.5927
28/02/2022	06:00:00	2610.14	2630.92	2568.62	2606.5	37473.633
28/02/2022	07:00:00	2606.5	2653.75	2598.12	2635.32	29038.735
28/02/2022	08:00:00	2635.32	2658.0	2617.0	2625.34	19087.862
28/02/2022	09:00:00	2625.34	2642.58	2612.36	2612.39	13837.9246
28/02/2022	10:00:00	2612.4	2647.6	2611.48	2640.28	13700.4367
28/02/2022	11:00:00	2640.28	2646.97	2621.4	2640.54	10942.4077
28/02/2022	12:00:00	2640.55	2665.79	2626.26	2635.17	22281.6042
28/02/2022	13:00:00	2635.17	2640.66	2607.38	2617.56	19329.127
28/02/2022	14:00:00	2617.57	2763.15	2616.01	2757.65	98255.6536
28/02/2022	15:00:00	2757.65	2829.99	2738.14	2815.44	76301.266
28/02/2022	16:00:00	2815.44	2830.77	2797.13	2811.3	57277.4531
28/02/2022	17:00:00	2811.56	2822.79	2789.0	2822.49	38518.3436
28/02/2022	18:00:00	2822.49	2824.23	2796.04	2808.26	18485.7032
28/02/2022	19:00:00	2808.26	2809.97	2790.01	2808.25	14173.391
28/02/2022	20:00:00	2808.24	2838.97	2796.08	2834.6	22929.0574
28/02/2022	21:00:00	2834.6	2835.0	2808.89	2820.55	12952.6564
28/02/2022	22:00:00	2820.56	2951.6	2819.78	2897.24	65710.9322
28/02/2022	23:00:00	2897.25	2924.71	2893.05	2920.95	33888.6342
01/03/2022	00:00:00	2920.83	2974.3	2920.54	2947.68	50968.3292
01/03/2022	01:00:00	2947.68	2950.0	2913.45	2917.06	23023.6315
01/03/2022	02:00:00	2917.06	2921.54	2904.38	2917.23	18274.7063
01/03/2022	03:00:00	2917.23	2918.07	2889.5	2911.83	20920.3574
01/03/2022	04:00:00	2911.83	2932.43	2905.42	2925.01	25576.4525
01/03/2022	05:00:00	2925.01	2934.2	2905.43	2913.47	14572.9726
01/03/2022	06:00:00	2913.46	2921.91	2882.33	2917.31	19896.5105
01/03/2022	07:00:00	2917.31	2932.0	2913.86	2922.03	14560.1906
01/03/2022	08:00:00	2921.94	2932.67	2907.67	2923.67	14990.7888
01/03/2022	09:00:00	2923.66	2923.96	2887.13	2895.0	27668.992
01/03/2022	10:00:00	2894.99	2920.96	2854.09	2920.59	34153.7049
01/03/2022	11:00:00	2920.59	2929.15	2887.33	2903.08	23864.9488
01/03/2022	12:00:00	2903.08	2954.08	2899.39	2950.45	44309.093
01/03/2022	13:00:00	2950.44	3033.33	2944.28	3019.76	83568.5366
01/03/2022	14:00:00	3019.63	3037.94	2967.11	2972.63	62621.0706
01/03/2022	15:00:00	2972.63	2986.1	2926.0	2949.0	47341.6124
01/03/2022	16:00:00	2948.99	2968.29	2897.16	2906.0	39606.6778
01/03/2022	17:00:00	2905.99	2959.27	2903.08	2934.5	23717.5711
01/03/2022	18:00:00	2934.5	2959.66	2913.87	2953.32	20425.5121
01/03/2022	19:00:00	2953.32	2976.48	2942.63	2945.96	13628.2246
01/03/2022	20:00:00	2945.95	2977.34	2943.26	2973.97	15141.8887
01/03/2022	21:00:00	2973.96	2979.99	2938.42	2955.07	13378.9227
01/03/2022	22:00:00	2955.13	2975.0	2945.13	2974.4	8263.0962
01/03/2022	23:00:00	2974.39	2979.37	2951.72	2976.33	13427.9067
